id,sales_amt,qty,discount,profit_amt,order.order_id,order.ship_mode,order.order_status,order.order_purchase_date,order.order_approved_at,order.order_delivered_carrier_date,order.order_delivered_customer_date,order.order_estimated_delivery_date,order.customer.customer_id,order.customer.customer_name,order.customer.segment,order.customer.contact_number,order.customer.address.zip_code,order.customer.address.region,order.customer.address.country,order.customer.address.city,order.customer.address.state,order.vendor.VendorID,order.vendor.Vendor Name,product.product_id,product.product_name,product.colors,product.category,product.sub_category,product.date_added,product.manufacturer,product.sizes,product.upc,product.weight,product.product_photos_qty
4298,86.304,6,0.2,9.7092,CA-2017-129021,Second Class,delivered,2017-12-05 09:18:00,2017-12-06 02:50,2017-12-06 19:51,2017-12-15 17:11,2018-01-04,PO-18850,Patrick O'Brill,Consumer,+1 505-706-9275,33180,South,United States,miami,florida,VEN01,Velocity Logistics,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Blue,Office Supplies,Art,2016-10-05,Italian Shoe Makers,null,null,null,2
354,6.858,6,0.7,-5.715,CA-2016-129714,First Class,delivered,2018-08-07 08:08:00,2018-08-07 08:44,2018-08-08 13:06,2018-08-13 17:36,2018-08-24,AB-10060,Adam Bellavance,Home Office,+1 206-431-9519,85204,West,United States,mesa,arizona,VEN04,Johnsons Logistics,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Blue,Office Supplies,Binders,2017-01-27,null,"11.5,11,12",888000000000,null,2
9271,15.76,2,0.2,3.546,US-2017-102183,Standard Class,delivered,2017-11-28 00:37:00,2017-11-28 01:31,2017-11-29 19:10,2017-12-06 17:57,2017-12-18,PK-19075,Pete Kriz,Consumer,+1 213-609-2584,80027,West,United States,louisville,colorado,VEN01,Velocity Logistics,OFF-AR-10001683,Lumber Crayons,Blue,Office Supplies,Art,2016-03-23,null,null,null,null,0
9640,29.472,3,0.2,9.9468,CA-2015-116638,Second Class,delivered,2017-07-17 16:18:00,2017-07-17 16:35,2017-07-24 17:39,2017-07-31 21:10,2017-08-11,JH-15985,Joseph Holt,Consumer,+1 518-230-5699,73120,Central,United States,oklahoma city,oklahoma,VEN02,Seaborne Ltd.,OFF-PA-10000249,Easy-staple paper,Blue,Office Supplies,Paper,2017-01-09,null,"8.5,10,6,9.5,6.5,8",41969077931,null,0
5918,1097.544,7,0.2,123.4737,US-2015-126977,Standard Class,delivered,2018-06-16 18:31:00,2018-06-16 18:57,2018-06-19 15:10,2018-06-21 17:48,2018-06-29,PF-19120,Peter Fuller,Consumer,+1 505-927-6698,74012,Central,United States,broken arrow,oklahoma,VEN03,Voyage Enterprises,TEC-PH-10004977,GE 30524EE4,Pink,Technology,Phones,2016-10-05,Kenneth Cole Reaction,null,888000000000,null,1
3281,190.92,5,0.6,-147.963,CA-2014-102988,Second Class,delivered,2017-07-18 15:49:00,2017-07-18 16:03,2017-07-20 13:13,2017-08-03 20:03,2017-08-11,GM-14695,Greg Maxwell,Corporate,+1 430-843-9872,98103,West,United States,seattle,washington,VEN05,Seahawk Logistics,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Black,Furniture,Furnishings,2016-04-01,null,null,601000000000,null,4
6621,113.328,9,0.2,35.415,US-2017-167402,Second Class,delivered,2017-11-12 21:43:00,2017-11-12 21:55,2017-11-16 17:06,2017-11-28 17:21,2017-11-27,CP-12085,Cathy Prescott,Corporate,+1 505-577-5778,94122,West,United States,san francisco,california  ,VEN02,Seaborne Ltd.,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Black,Office Supplies,Envelopes,2015-12-01,null,null,null,null,2
6015,532.3992,3,0.32,-46.9764,CA-2016-159016,First Class,delivered,2017-07-28 11:25:00,2017-07-28 11:35,2017-07-28 19:58,2017-08-07 20:41,2017-08-17,KF-16285,Karen Ferguson,Home Office,+1 231-747-3480,93727,West,United States,fresno,california,VEN03,Voyage Enterprises,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Blue,Furniture,Bookcases,2016-10-05,Jordan,"10,10.5,11,11.5,12,13,14,8,8.5,9,9.5",887000000000,null,0
6536,212.058,3,0.3,-15.147,CA-2014-128209,Standard Class,delivered,2018-06-30 12:14:00,2018-07-05 16:27,2018-07-03 10:18,2018-07-11 14:52,2018-08-01,GT-14710,Greg Tran,Consumer,+1 582-333-5365,78745,Central,United States,austin,texas,VEN02,Seaborne Ltd.,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Blue,Furniture,Chairs,2017-01-12,Nike,null,91207259940,null,0
2183,371.168,4,0.2,41.7564,CA-2016-128818,Standard Class,delivered,2018-06-27 10:16:00,2018-06-27 11:06,2018-06-27 11:42,2018-06-28 17:51,2018-07-12,CJ-12010,Caroline Jumper,Consumer,+1 318-841-2201,23666,South,United States,hampton,virginia,VEN04,Johnsons Logistics,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Blue,Technology,Phones,2016-08-27,SNEED,null,null,599 g,2
319,147.168,4,0.2,16.5564,CA-2014-164973,Standard Class,delivered,2017-03-01 22:03:00,2017-03-03 02:15,2017-03-03 11:35,2017-03-13 11:52,2017-04-05,NM-18445,Nathan Mautz,Home Office,+1 201-346-6959,14609,East,United States,rochester,new york,VEN02,Seaborne Ltd.,TEC-PH-10004093,Panasonic Kx-TS550,Blue,Technology,Phones,2017-01-27,Totes,"8 M,10 M,7 M,11 M,6 M,9 M",49129295768,null,3
5199,77.88,2,0.0,3.894,CA-2016-103982,Standard Class,delivered,2017-06-22 15:53:00,2017-06-22 16:05,2017-06-23 12:05,2017-06-27 12:32,2017-07-05,AA-10315,Alex Avila,Consumer,582-262-8228,55407,Central,United States,minneapolis,minnesota,VEN02,Seaborne Ltd.,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Blue,Office Supplies,Storage,2016-01-20,null,null,null,null,3
7684,95.616,2,0.2,9.5616,CA-2015-120782,First Class,delivered,2017-07-24 16:14:00,2017-07-24 16:25,2017-07-24 21:24,2017-08-01 16:38,2017-08-15,SD-20485,Shirley Daniels,Home Office,+1 314-627-4061,90049,West,United States,los angeles,california,VEN04,Johnsons Logistics,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Blue,Office Supplies,Storage,2016-03-30,null,null,null,null,0
9426,45.98,2,0.0,19.7714,CA-2014-116246,Second Class,delivered,2017-03-14 14:29:00,2017-03-14 14:29,2017-03-16 16:57,2017-03-24 08:37,2017-04-06,LW-17215,Luke Weiss,Consumer,+1 218-320-8646,90004,West,United States,los angeles,california,VEN03,Voyage Enterprises,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Blue,Technology,Accessories,2016-03-21,null,null,null,null,3
1247,17.46,2,0.0,8.2062,CA-2014-168494,Second Class,delivered,2018-03-09 20:07:00,2018-03-09 20:40,2018-03-12 21:21,2018-03-16 00:32,2018-03-21,NP-18700,Nora Preis,Consumer,+1 582-333-1447,60089,Central,United States,buffalo grove,illinois,VEN01,Velocity Logistics,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Black,Office Supplies,Binders,2016-11-04,Guess,9.5,888000000000,null,1
5171,211.96,4,0.0,8.4784,CA-2016-122903,Second Class,delivered,2017-11-11 17:38:00,2017-11-11 17:51,2017-11-14 22:13,2017-12-12 02:14,2017-12-18,LA-16780,Laura Armstrong,Corporate,+1 305-865-1226,94122,West,United States,san francisco,california,VEN03,Voyage Enterprises,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Black,Office Supplies,Storage,2017-01-12,null,12,723000000000,null,4
7584,45.0,3,0.0,4.95,CA-2014-163223,Standard Class,delivered,2017-07-05 13:40:00,2017-07-05 17:36,2017-07-06 14:42,2017-07-17 19:23,2017-07-27,KH-16690,Kristen Hastings,Corporate,+1 408-539-4642,71203,South,United States,monroe,louisiana,VEN04,Johnsons Logistics,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Pink,Technology,Accessories,2016-10-05,Michael Kors,null,889000000000,null,4
9650,21.8,2,0.0,6.104,CA-2016-107104,Standard Class,delivered,2018-01-22 10:10:00,2018-01-22 14:15,2018-01-23 22:29,2018-02-14 22:51,2018-02-15,MS-17365,Maribeth Schnelling,Consumer,+1 582-222-2985,37604,South,United States,johnson city,tennessee,VEN01,Velocity Logistics,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Blue,Technology,Phones,2017-01-17,FitFlop,null,884000000000,null,3
7915,38.22,6,0.0,17.9634,CA-2017-165323,Standard Class,delivered,2017-04-11 16:21:00,2017-04-12 16:25,2017-04-13 10:41,2017-05-06 10:37,2017-05-11,SR-20740,Steven Roelle,Home Office,05056447356,77642,Central,United States,port arthur,texas,VEN04,Johnsons Logistics,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Blue,Office Supplies,Binders,2016-11-10,null,null,829000000000,null,0
9858,75.18,6,0.0,35.3346,CA-2015-164301,Standard Class,delivered,2018-08-04 16:19:00,2018-08-04 16:35,2018-08-07 14:44,2018-08-11 15:38,2018-08-22,EB-13840,Ellis Ballard,Corporate,+1 210-400-2831,10035,East,United States,new york city,new york,VEN01,Velocity Logistics,OFF-LA-10002762,Avery 485,Blue,Office Supplies,Labels,2016-03-24,null,null,884000000000,null,0
3274,6.16,2,0.0,2.9568,CA-2017-133865,Standard Class,shipped,2017-08-11 17:40:00,2017-08-11 17:55,2017-08-14 18:22,null,2017-09-13,PS-19045,Penelope Sewall,Home Office,205 891 5526,7501,East,United States,paterson,new jersey,VEN01,Velocity Logistics,FUR-FU-10001706,Longer-Life Soft White Bulbs,Blue,Furniture,Furnishings,2016-11-15,Brianna Leigh,"5.5,10,9.5,5,7.5,9",null,null,0
8101,89.99,1,0.0,17.0981,CA-2016-169663,First Class,delivered,2018-06-15 13:08:00,2018-06-15 13:44,2018-06-19 14:12,2018-06-21 20:05,2018-07-05,RH-19510,Rick Huthwaite,Home Office,582 262 4172,85234,West,United States,gilbert,arizona,VEN04,Johnsons Logistics,FUR-CH-10003061,"Global Leather Task Chair, Black",Blue,Furniture,Chairs,2017-01-22,null,null,33977171008,null,4
252,15.26,7,0.0,6.2566,CA-2016-145625,Standard Class,delivered,2018-03-27 22:07:00,2018-03-27 22:15,2018-04-02 14:34,2018-04-06 18:43,2018-04-13,KC-16540,Kelly Collister,Consumer,+1 582-333-6683,95695,West,United States,woodland,california,VEN01,Velocity Logistics,OFF-FA-10000304,Advantus Push Pins,Blue,Office Supplies,Fasteners,2016-04-14,null,null,890000000000,null,0
6818,1029.95,5,0.0,298.6855,CA-2014-144414,Standard Class,delivered,2018-02-21 14:37:00,2018-02-21 14:55,2018-02-24 13:23,2018-02-28 18:39,2018-03-07,GH-14425,Gary Hwang,Consumer,+1 404-726-5433,90004,West,United States,los angeles,california,VEN04,Johnsons Logistics,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Blue,Technology,Phones,2015-11-09,LeDonne Leather,null,700000000000,1.0 lbs,4
1645,208.56,6,0.0,52.14,CA-2015-111829,First Class,delivered,2017-10-31 14:30:00,2017-10-31 15:31,2017-11-07 20:03,2017-11-16 22:36,2017-11-24,FH-14365,Fred Hopkins,Corporate,+1 414-734-9649,10035,East,United States,new york city,new york,VEN04,Johnsons Logistics,OFF-ST-10000604,Home/Office Personal File Carts,Blue,Office Supplies,Storage,2016-11-07,Caparros,8,null,null,0
28,32.4,5,0.0,15.552,US-2015-150630,Standard Class,delivered,2018-08-05 19:41:00,2018-08-05 19:50,2018-08-06 11:59,2018-08-09 21:36,2018-08-22,TB-21520,Tracy Blumstein,Consumer,+1 213-932-4028,37167,South,United States,smyrna,tennessee,VEN02,Seaborne Ltd.,OFF-PA-10001569,Xerox 232,Black,Office Supplies,Paper,2016-03-04,null,null,null,null,0
4094,319.41,5,0.1,7.098,CA-2015-102491,Standard Class,delivered,2017-02-04 14:16:00,2017-02-04 14:25,2017-02-06 10:32,2017-03-02 10:27,2017-03-03,KW-16435,Katrina Willman,Consumer,+1 207-741-8729,40475,South,United States,richmond,kentucky,VEN02,Seaborne Ltd.,FUR-CH-10003968,Novimex Turbo Task Chair,Black,Furniture,Chairs,2017-01-09,Quiksilver,null,888000000000,null,0
263,14.56,2,0.0,6.9888,US-2014-106992,Second Class,delivered,2017-08-05 11:51:00,2017-08-08 04:15,2017-08-09 12:06,2017-08-11 21:33,2017-08-23,SB-20290,Sean Braxton,Corporate,+1 305-323-1882,48227,Central,United States,detroit,michigan,VEN04,Johnsons Logistics,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Black,Office Supplies,Paper,2017-01-12,Saucony,null,44214051465,null,0
978,30.0,2,0.0,3.3,CA-2017-159366,First Class,delivered,2018-05-04 10:55:00,2018-05-05 03:15,2018-05-07 14:23,2018-05-11 17:47,2018-05-30,BW-11110,Bart Watters,Corporate,+1 606-264-8752,77095,Central,United States,houston,texas,VEN04,Johnsons Logistics,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Pink,Technology,Accessories,2016-10-05,Michael Kors,null,889000000000,null,4
